target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,3,59,0.07805104091971914,1.6324628478725616e-05
0.55,3,60,0.07805104091971914,1.6787406783538772e-05
0.55,3,61,0.07801915189247541,1.7028371644054385e-05
0.55,3,62,0.07801915189247541,1.8088672335421054e-05
0.55,3,63,0.07801915189247541,2.0800645515095723e-05
0.55,3,64,0.07801915189247541,2.1043789148758084e-05
0.55,3,65,0.07801915189247541,2.0988860388865398e-05
0.55,3,66,0.07801915189247541,2.1506688290277695e-05
0.55,3,67,0.07801915189247541,2.314458723692409e-05
0.55,3,68,0.07801915189247541,2.3542645064965828e-05
0.55,3,69,0.07801915189247541,2.3653712363996647e-05
0.55,3,70,0.07801915189247541,2.6920227508275053e-05
0.55,3,71,0.07801915189247541,3.4614985801672156e-05
0.55,3,72,0.0779907396397444,3.432159451918605e-05
0.55,3,73,0.0779907396397444,3.431660752634466e-05
0.55,3,74,0.0779907396397444,3.454039533657209e-05
0.55,3,75,0.07794967467769985,3.477876678862278e-05
0.55,3,76,0.07794967467769985,3.600924217242461e-05
0.55,3,77,0.07794967467769985,3.53460385985563e-05
0.55,3,78,0.07794967467769985,3.5450229106686104e-05
0.55,3,79,0.07794967467769985,3.555519852546782e-05
0.55,3,80,0.07794967467769985,3.5011299597022064e-05
0.55,3,81,0.07794967467769985,3.4977096729600506e-05
0.55,3,82,0.07794553650918915,3.421603702646467e-05
0.55,3,83,0.07794553650918915,3.432109201391065e-05
0.55,3,84,0.07794553650918915,3.432461797520766e-05
0.55,3,85,0.07794553650918915,3.544659214750983e-05
0.55,3,86,0.07794553650918915,3.616864701246751e-05
0.55,3,87,0.07794553650918915,3.895828646520782e-05
0.55,3,88,0.07794173354278296,3.884723830855565e-05
0.55,3,89,0.07794173354278296,3.899043442092626e-05
0.55,3,90,0.07794173354278296,3.958172152890605e-05
0.55,3,91,0.07794173354278296,4.041115138052431e-05
0.55,3,92,0.07794173354278296,4.147162960513883e-05
0.55,3,93,0.07794173354278296,4.309714685901178e-05
0.55,3,94,0.07792304122011862,4.398812914125702e-05
0.55,3,95,0.07792304122011862,4.402793495777169e-05
0.55,3,96,0.07792304122011862,0.00015784173825296216
0.55,3,97,0.07792304122011862,0.0001627956908574948
0.55,3,98,0.07792304122011862,0.00016327613912434696
0.55,3,99,0.07791442719731456,0.00015819712444707382
0.55,3,100,0.07791442719731456,0.0001622610036687036
0.55,3,101,0.07791442719731456,0.00016327143260235695
0.55,3,102,0.07791074940365617,0.00017770929745059423
0.55,3,103,0.07791074940365617,0.00018358435193599015
0.55,3,104,0.07791074940365617,0.00018079202292030678
0.55,3,105,0.07791074940365617,0.00019259243889861426
0.55,3,106,0.07791074940365617,0.00020477095607152962
