method,method_type,target,y_target,attempt,objective_value,optimization_time_s,n_function_evaluations,success,message,y_gp_pred,y_gp_std,max_xr_gp_pred,max_xr_gp_std,predicted_constraint_violation_gp,y_sim,error_gp,error_sim,error_gp_vs_sim,max_xr_sim,max_xb_sim,extra_reach,constraint_violation,feasible,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
baseline,baseline_peak_y_only,0.58,0.58,1,1.7542062405224088e-05,6.856878995895386,13075,False,Maximum number of iterations has been exceeded.,0.5800025341927743,0.010814205467221057,0.476697699444494,0.0037236329692874907,0.0,0.5787220844065739,2.5341927742950077e-06,0.0012779155934260489,0.0012804497862003439,0.47907160206323385,0.2005631589437341,0.07872208440657391,0.0,True,1000.0,3407.3197466012607,20.0,0.1,0.3105905325038932,0.2627004145900398,2.253334576563791,0.10010389144533015,0.35620735262711184,10.0
baseline,baseline_peak_y_only,0.58,0.58,2,1.755601631077891e-05,6.66301417350769,13089,False,Maximum number of iterations has been exceeded.,0.5800030420211079,0.010818504843364905,0.509055156666419,0.003725686020500679,0.014055156666418989,0.5841023872785326,3.04202110790186e-06,0.0041023872785326265,0.004099345257424725,0.5091828286294299,0.2046088529826827,0.08410238727853259,0.009182828629429873,False,1000.0,3677.2959127630324,20.0,0.1,0.23282717257437516,0.26001721654104537,2.6219217401700363,0.1014751033395718,0.36124862744016506,10.0
baseline,baseline_peak_y_only,0.58,0.58,3,1.7541578188322046e-05,6.6043784618377686,13089,False,Maximum number of iterations has been exceeded.,0.5800033107731074,0.010814054813714566,0.47658028486923887,0.0037221204499899053,0.0,0.5789623440950311,3.3107731074455415e-06,0.0010376559049688483,0.0010409666780762938,0.47876227861216053,0.20080714470639494,0.07896234409503111,0.0,True,1000.0,3434.9908915671535,20.0,0.1,0.3104530443436072,0.2526135995091274,2.2426207518508976,0.10002194239814337,0.35650161863143653,10.0
baseline,baseline_peak_y_only,0.58,0.58,4,1.755674316141983e-05,6.547376394271851,13075,False,Maximum number of iterations has been exceeded.,0.5800019971821504,0.010818730416175855,0.5168524468685447,0.0037038010955582944,0.021852446868544706,0.5835785689467156,1.9971821504372045e-06,0.003578568946715599,0.003576571764565162,0.5171913278652981,0.20099960919246668,0.08357856894671556,0.01719132786529809,False,1000.0,3629.2526301461157,20.0,0.1,0.2605764983513274,0.26629844224602545,2.944672429841023,0.10249021813405673,0.3633950408919958,10.0
baseline,baseline_peak_y_only,0.58,0.58,5,1.755594610640741e-05,6.617156982421875,13075,False,Maximum number of iterations has been exceeded.,0.5800035706695201,0.010818482135286382,0.508750552641952,0.0037171964466929416,0.013750552641952019,0.5826968755285634,3.5706695201698224e-06,0.0026968755285634582,0.0026933048590432884,0.5089881857739276,0.20136277493134444,0.08269687552856342,0.00898818577392757,False,1000.0,3607.945998428917,20.0,0.1,0.25058851601182625,0.2615842342873207,2.701644434325902,0.10198389106817277,0.36073056660282155,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.58,0.58,1,1.8232774655269955e-05,15.046112775802612,13075,False,Maximum number of iterations has been exceeded.,0.5800056624949466,0.010814656662555508,0.47563431162584324,0.0037127423343870747,0.0,0.5789251053883309,5.662494946601093e-06,0.0010748946116690972,0.0010805571066156983,0.47725603144771717,0.20051211331300156,0.07892510538833086,0.0,True,1000.0,3539.231933805314,20.0,0.1,0.3181746840408238,0.25166285731522187,2.224058316549755,0.09984923605688346,0.3572668422029554,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.58,0.58,2,1.8232837768697623e-05,15.038661003112793,13089,False,Maximum number of iterations has been exceeded.,0.580003813718779,0.010814474497722866,0.4749433473763524,0.0037145509148804523,0.0,0.5787486125893007,3.8137187789999416e-06,0.0012513874106993006,0.0012552011294783005,0.47672999689468004,0.20037294845436238,0.07874861258930066,0.0,True,1000.0,3513.1551393529594,20.0,0.1,0.31759932803615654,0.25374853574923045,2.203927753558657,0.09971663080710536,0.35695876963455936,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.58,0.58,3,1.8232823488337695e-05,15.651732683181763,13075,False,Maximum number of iterations has been exceeded.,0.5800021465373312,0.010814440649047926,0.47550443740843834,0.003714834849487017,0.0,0.5788783589370635,2.1465373312157254e-06,0.0011216410629364404,0.0011237876002676561,0.47725512752991217,0.20025597803521628,0.07887835893706352,0.0,True,1000.0,3516.7232895441102,20.0,0.1,0.3165878839287658,0.2525555577591058,2.213412747768305,0.09964058131242069,0.3573447266792538,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.58,0.58,4,1.8232784741440094e-05,15.345033407211304,13089,False,Maximum number of iterations has been exceeded.,0.5800038202607617,0.010814586942750413,0.4754136386489736,0.0037134257383220916,0.0,0.5788795667606447,3.820260761733252e-06,0.0011204332393552896,0.0011242535001170229,0.47704700906589154,0.2003437160936771,0.07887956676064467,0.0,True,1000.0,3521.687817612362,20.0,0.1,0.31870523649457333,0.2554057794384796,2.2184036838517467,0.09974012650830733,0.35727221186812164,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.58,0.58,5,1.8232768513372516e-05,16.294655799865723,13089,False,Maximum number of iterations has been exceeded.,0.5800037754262019,0.010814518081036248,0.4758206772677381,0.0037139845470074923,0.0,0.5789444349274417,3.7754262018907525e-06,0.0010555650725582177,0.0010593404987601085,0.4777746707044413,0.20053048043269261,0.07894443492744174,0.0,True,1000.0,3529.073017687923,20.0,0.1,0.317115658281082,0.2515963726421389,2.2276269270831746,0.09985925958517683,0.35723791165168756,10.0
