case,time,dxb,dxr,xb,xr,y,dxb_measured,dxr_measured,xb_measured,xr_measured,y_measured,u,tracking_error_m,tracking_error_mm,measurement_noise_dxb,measurement_noise_dxr,measurement_noise_xb,measurement_noise_xr,disturbance_applied,n_failures_so_far
disturbance_plus_noise,2.66,0.028330630627897698,-0.04718115439099045,-0.002595669214887269,0.5960983355714446,0.5935026663565574,0.02848000940258234,-0.04655719667029179,-0.00285020220753808,0.5952238828465646,0.5923736806390265,0.5892579058172833,0.0007236663565574064,0.7236663565574064,0.00014937877468464123,0.0006239577206986598,-0.00025453299265081075,-0.0008744527248800643,1,0
disturbance_plus_noise,2.68,0.0251079213840046,-0.02692800796139043,-0.0020474770803316444,0.5953013493078793,0.5932538722275477,0.024174226342183157,-0.025624619376375855,-0.002036764844486719,0.5945349475301488,0.5924981826856621,0.5964193095239865,0.00047487222754771796,0.47487222754771796,-0.000933695041821445,0.0013033885850145758,1.0712235844925066e-05,-0.0007664017777305094,1,0
disturbance_plus_noise,2.7,0.023396588063852974,-0.01900202677097164,-0.0014764647682574852,0.5948304187544698,0.5933539539862124,0.021728358406819498,-0.020729387301493433,-0.0005503443683700381,0.5929028761722437,0.5923525318038736,0.5949540833755267,0.0005749539862124342,0.5749539862124342,-0.0016682296570334771,-0.001727360530521794,0.0009261203998874472,-0.0019275425822261748,1,0
disturbance_plus_noise,2.72,0.022866354825377327,-0.018374914295784736,-0.0010423531937342775,0.5945478199264035,0.5935054667326692,0.02316195204337253,-0.018202765893928143,-0.00010140880111482843,0.5944513806406978,0.5943499718395829,0.5938272278616548,0.0007264667326692953,0.7264667326692953,0.0002955972179952046,0.00017214840185659288,0.0009409443926194491,-9.643928570565834e-05,1,0
disturbance_plus_noise,2.74,0.029395747341506444,-0.06618610156893706,-0.0005286976374693224,0.5936264889108818,0.5930977912734124,0.031687793794316556,-0.0679502678408103,-0.0005479817464774979,0.5935809611351737,0.5930329793886961,0.5863068510083457,0.0003187912734124998,0.3187912734124998,0.0022920464528101135,-0.0017641662718732446,-1.928410900817553e-05,-4.552777570814892e-05,1,0
disturbance_plus_noise,2.7600000000000002,0.024052709527374195,-0.038165705305074564,-4.02138468918493e-05,0.5925711519338648,0.5925309380869729,0.02607412350928185,-0.03815043325191315,-0.0007677165563311075,0.5920814129982724,0.5913136964419413,0.5937326557089659,-0.0002480619130270645,-0.24806191302706448,0.0020214139819076564,1.5272053161417196e-05,-0.0007275027094392582,-0.0004897389355923149,1,0
disturbance_plus_noise,2.7800000000000002,0.014577028833911362,0.015844383618219347,0.00041504691627904805,0.5924723197158255,0.5928873666321045,0.014719664370463936,0.01653509579834278,0.0008422513445363867,0.5921476176248658,0.5929898689694022,0.5983719860581277,0.00010836663210456177,0.10836663210456177,0.00014263553655257397,0.000690712180123434,0.0004272044282573387,-0.000324702090959721,1,0
disturbance_plus_noise,2.8000000000000003,0.019196190940806674,-0.018525334020766913,0.0006751827055109105,0.5923875845817642,0.5930627672872751,0.01778278211718731,-0.017633700970084067,0.0008320000538562448,0.5931110683452634,0.5939430683991196,0.5882656945349987,0.00028376728727519396,0.28376728727519396,-0.0014134088236193642,0.0008916330506828458,0.00015681734834533428,0.000723483763499141,1,0
disturbance_plus_noise,2.82,0.02264258608211951,-0.04820066615734044,0.0011196275001221522,0.5916502741898383,0.5927699016899605,0.020879299625953657,-0.049439397880812294,-0.00025019889913479557,0.5911116697745433,0.5908614708754085,0.5867190722499349,-9.098310039479252e-06,-0.009098310039479252,-0.0017632864561658512,-0.0012387317234718502,-0.0013698263992569478,-0.0005386044152949507,1,0
disturbance_plus_noise,2.84,0.007993986227481278,0.029402805572747562,0.0013749324523470627,0.5914856256068659,0.592860558059213,0.01000071847060855,0.03182810745151888,0.0005530388464659323,0.5924499271931642,0.5930029660396302,0.6002791760534161,8.155805921306047e-05,0.08155805921306047,0.002006732243127272,0.0024253018787713156,-0.0008218936058811304,0.0009643015862983117,1,0
