time,dxb,dxr,xb,xr,y,u,tracking_error_m,tracking_error_mm
1.94,-0.013977289999232645,0.013853030677400291,-0.0011160411275003244,0.5938947082445314,0.5927786671170311,0.5946402282415358,-3.3288296885647384e-07,-0.00033288296885647384
1.96,-0.012314681806566141,0.012213667916760151,-0.001379607670027279,0.5941582006379951,0.5927785929679678,0.5948071801235634,-4.0703203219027984e-07,-0.00040703203219027984
1.98,-0.010542231916147782,0.01046489047364263,-0.0016086765296226555,0.5943872053483313,0.5927785288187086,0.5949342958500751,-4.711812913171798e-07,-0.0004711812913171798
2.0,-0.008692974613913051,0.008639342743909317,-0.0018013806866332529,0.5945798558620116,0.5927784751753783,0.5950215602323554,-5.248246216504882e-07,-0.0005248246216504882
2.02,-0.006799511125968882,0.0067692547203441755,-0.0019565118027295185,0.5947349441581763,0.5927784323554468,0.595069579726101,-5.676445531399565e-07,-0.0005676445531399565
2.04,-0.004893523047302839,0.004885960284823021,-0.002073506551225399,0.5948519070433154,0.59277840049209,0.5950795423139598,-5.995079099818668e-07,-0.0005995079099818668
2.06,-0.003005324103523721,0.0030194532271852204,-0.0021524235723277985,0.594930803113535,0.5927783795412072,0.5950531703068928,-6.204587927882699e-07,-0.0006204587927882699
2.08,-0.0011634553381395518,0.0011979860467987713,-0.002193911874876756,0.5949722811657306,0.5927783692908539,0.5949926671490935,-6.307091460211467e-07,-0.0006307091460211467
2.1,0.0006056721099152451,-0.0005522843230196806,-0.0021991715988719353,0.5949775409716969,0.5927783693728249,0.5949006593510898,-6.306271750355918e-07,-0.0006306271750355918
2.12,0.002278083420731769,-0.002207600662933462,-0.0021699081269955746,0.5949482874030951,0.5927783792760996,0.5947801346960667,-6.207239003908072e-07,-0.0006207239003908072
2.14,0.0038324934324482918,-0.0037468572222443264,-0.0021082805882132573,0.5948866789500631,0.5927783983618499,0.5946343778660471,-6.016381500772994e-07,-0.0006016381500772994
2.16,0.005250505576208653,-0.0051517977426494,-0.002016845832446654,0.5947952717121452,0.5927784258796985,0.5944669046181764,-5.741203014109075e-07,-0.0005741203014109075
2.18,0.006516755991609058,-0.006407159316613953,-0.0018984989726424338,0.5946769599575562,0.5927784609849138,0.5942813956081906,-5.390150861206422e-07,-0.0005390150861206422
2.2,0.007619003281792991,-0.007500762511305492,-0.0017564115899554424,0.5945349143461803,0.5927785027562249,0.5940816309095284,-4.972437750438985e-07,-0.0004972437750438985
2.22,0.008548165191636592,-0.008423549004865638,-0.001593968680116492,0.5943725188940692,0.5927785502139526,0.5938714262139716,-4.497860472962856e-07,-0.0004497860472962856
2.24,0.009298304256115664,-0.009169568738148559,-0.0014147053854813938,0.5941933077236354,0.592778602338154,0.5936545716248814,-3.9766184589673514e-07,-0.00039766184589673514
2.2600000000000002,0.009866565159991292,-0.009735919272678473,-0.0012222445090670341,0.5940009025955668,0.5927786580864998,0.5934347738687243,-3.4191350017920286e-07,-0.00034191350017920286
2.2800000000000002,0.010253067167095842,-0.010122640657630022,-0.0010202357455440549,0.5937989521571625,0.5927787164116184,0.5932156026566263,-2.835883815555107e-07,-0.0002835883815555107
2.3000000000000003,0.010460755511821573,-0.0103325696387091,-0.0008122974912785309,0.5935910737689423,0.5927787762776637,0.5930004418268977,-2.23722336212262e-07,-0.000223722336212262
2.32,0.010495216092782589,-0.010371157486355642,-0.0006019620128014866,0.593380798688686,0.5927788366758845,0.5927924457938958,-1.6332411545416647e-07,-0.00016332411545416647
2.34,0.010364458166236212,-0.010246256076274829,-0.00039262466230937515,0.5931715213013143,0.592778896639005,0.5925945017199526,-1.0336099498520213e-07,-0.00010336099498520213
2.36,0.010078670003705215,-0.00996787712159497,-0.00018749773177265724,0.592966452986021,0.5927789552542484,0.5924091977174194,-4.474575154844729e-08,-4.474575154844729e-05
2.38,0.009649952654512295,-0.009547929632335528,1.0430564226511507e-05,0.5927685811106437,0.5927790116748702,0.5922387972787198,1.1674870292743833e-08,1.1674870292743833e-05
