target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,3,115,0.07808887698398186,0.0016630333876378326
0.55,3,116,0.07808887698398186,0.0018263446422020237
0.55,3,117,0.07808887698398186,0.00213554395603662
0.55,3,118,0.07808870183700241,0.002148981205606832
0.55,3,119,0.07808870183700241,0.002272264111309179
0.55,3,120,0.07808870183700241,0.002354094607536494
0.55,3,121,0.07808860116954572,
0.55,4,1,0.12262469231064946,2.8127579861945925e-08
0.55,4,2,0.0810664548330465,1.993001495700162e-08
0.55,4,3,0.0810664548330465,4.0387451779093623e-08
0.55,4,4,0.0786992255171405,5.754420101624514e-08
0.55,4,5,0.0786992255171405,4.5995081953485386e-08
0.55,4,6,0.0786992255171405,3.0794740828177275e-08
0.55,4,7,0.0786992255171405,4.143933947298776e-08
0.55,4,8,0.07845060267652104,4.428580884017379e-08
0.55,4,9,0.07845060267652104,1.1016873756178328e-07
0.55,4,10,0.07845060267652104,9.918478674242029e-08
0.55,4,11,0.07845060267652104,9.758083341238045e-08
0.55,4,12,0.07845060267652104,9.388838326879933e-08
0.55,4,13,0.07834695807738193,3.681931375468817e-07
0.55,4,14,0.07834695807738193,3.852097860842122e-07
0.55,4,15,0.07834695807738193,5.016577215787261e-07
0.55,4,16,0.07834695807738193,9.222544090448295e-07
0.55,4,17,0.07834695807738193,1.4216357370269914e-06
